"player_name","club","position","minutes_played","match_played","goals","assists","distance_covered","corner_taken","offsides","dribbles","tackles","t_won","t_lost","balls_recoverd","clearance_attempted","total_attempts","on_target","off_target","blocked","red","yellow","fouls_committed","fouls_suffered","cross_accuracy","cross_attempted","cross_complted","freekicks_taken","pass_accuracy","pass_attempted","pass_completed","right_foot","left_foot","headers","penalties","others","inside_area","outside_areas","saved","saved_penalties","conceded","cleansheets","punches made"
Neuer,Bayern,Goalkeeper,810,9,0,1,51.2,0,0,1,,,,,,,,,,,,,,0,0,0,8,90,352,318,,,,,,,,14,0,6,4,1
Weigl,Benfica,Midfielder,810,9,0,0,112.0,,,,23,12,11,35,12,2,1,0,1,2,0,10,5,0,3,0,8,89,351,316,,,,,,,,,,,,
Otamendi,Benfica,Defender,810,9,0,0,91.2,,,,28,17,11,63,48,4,1,3,0,2,0,17,11,0,1,0,14,84,380,328,,,,,,,,,,,,
Sané,Bayern,Midfielder,798,10,6,6,94.0,3,3,32,1,0,1,23,0,33,13,12,8,0,0,2,5,26,19,5,8,86,398,346,1,5,0,0,0,3,3,,,,,
Laporte,Man. City,Defender,794,9,0,0,90.9,,,,5,1,4,51,17,5,1,4,0,2,0,4,2,0,0,0,10,94,707,672,,,,,,,,,,,,
Müller,Bayern,Forward,778,10,4,3,98.5,10,8,2,8,3,5,18,2,14,8,3,3,0,0,11,3,28,25,7,1,78,366,283,1,2,1,0,0,3,1,,,,,
Pavard,Bayern,Defender,764,10,0,1,96.7,0,2,0,12,7,5,55,17,10,2,7,1,0,0,9,4,33,12,4,10,90,676,613,,,,,,,,,,,,
Thiago Silva,Chelsea,Defender,757,9,0,1,71.7,0,0,0,9,4,5,65,17,7,1,2,4,1,0,6,5,100,2,2,17,93,607,571,,,,,,,,,,,,
De Bruyne,Man. City,Midfielder,734,10,2,4,95.5,18,0,14,6,0,6,11,2,24,7,9,8,2,0,9,9,26,41,11,18,82,397,334,1,0,1,0,0,2,0,,,,,
Škriniar,Inter,Defender,720,8,1,0,85.1,,,,11,6,5,38,26,10,3,6,1,1,0,5,7,50,4,2,11,91,451,416,1,0,0,0,0,1,0,,,,,
Kristensen,Salzburg,Defender,720,8,0,1,85.5,0,2,12,18,8,10,36,27,10,2,5,3,1,0,14,4,0,12,0,1,65,282,191,,,,,,,,,,,,
Martínez,Ajax,Defender,720,8,0,1,83.3,0,0,3,11,4,7,13,0,6,2,4,0,1,0,7,7,0,0,0,3,54,28,15,1,0,0,0,0,0,1,3,0,0,1,0
Martínez,Ajax,Defender,720,8,0,1,83.3,0,0,3,11,4,7,13,0,6,2,4,0,1,0,7,7,0,1,0,0,81,121,97,1,0,0,0,0,0,1,3,0,0,1,0
Martínez,Ajax,Defender,720,8,0,1,83.3,0,0,3,11,4,7,13,0,6,2,4,0,1,0,7,7,0,0,0,12,94,674,633,1,0,0,0,0,0,1,3,0,0,1,0
Martínez,Ajax,Defender,720,8,0,1,83.3,0,0,3,11,4,7,13,0,6,2,4,0,1,0,7,9,0,0,0,3,54,28,15,1,0,0,0,0,0,1,3,0,0,1,0
Martínez,Ajax,Defender,720,8,0,1,83.3,0,0,3,11,4,7,13,0,6,2,4,0,1,0,7,9,0,1,0,0,81,121,97,1,0,0,0,0,0,1,3,0,0,1,0
Martínez,Ajax,Defender,720,8,0,1,83.3,0,0,3,11,4,7,13,0,6,2,4,0,1,0,7,9,0,0,0,12,94,674,633,1,0,0,0,0,0,1,3,0,0,1,0
Martínez,Ajax,Defender,720,8,0,1,83.3,0,0,3,11,4,7,13,0,28,7,10,11,1,0,7,7,0,0,0,3,54,28,15,1,0,0,0,0,0,1,3,0,0,1,0
Martínez,Ajax,Defender,720,8,0,1,83.3,0,0,3,11,4,7,13,0,28,7,10,11,1,0,7,7,0,1,0,0,81,121,97,1,0,0,0,0,0,1,3,0,0,1,0
Martínez,Ajax,Defender,720,8,0,1,83.3,0,0,3,11,4,7,13,0,28,7,10,11,1,0,7,7,0,0,0,12,94,674,633,1,0,0,0,0,0,1,3,0,0,1,0
Martínez,Ajax,Defender,720,8,0,1,83.3,0,0,3,11,4,7,13,0,28,7,10,11,1,0,7,9,0,0,0,3,54,28,15,1,0,0,0,0,0,1,3,0,0,1,0
Martínez,Ajax,Defender,720,8,0,1,83.3,0,0,3,11,4,7,13,0,28,7,10,11,1,0,7,9,0,1,0,0,81,121,97,1,0,0,0,0,0,1,3,0,0,1,0
Martínez,Ajax,Defender,720,8,0,1,83.3,0,0,3,11,4,7,13,0,28,7,10,11,1,0,7,9,0,0,0,12,94,674,633,1,0,0,0,0,0,1,3,0,0,1,0
Martínez,Ajax,Defender,720,8,0,1,83.3,0,0,3,10,2,8,53,19,6,2,4,0,1,0,7,7,0,0,0,3,54,28,15,1,0,0,0,0,0,1,3,0,0,1,0
Martínez,Ajax,Defender,720,8,0,1,83.3,0,0,3,10,2,8,53,19,6,2,4,0,1,0,7,7,0,1,0,0,81,121,97,1,0,0,0,0,0,1,3,0,0,1,0
Martínez,Ajax,Defender,720,8,0,1,83.3,0,0,3,10,2,8,53,19,6,2,4,0,1,0,7,7,0,0,0,12,94,674,633,1,0,0,0,0,0,1,3,0,0,1,0
Martínez,Ajax,Defender,720,8,0,1,83.3,0,0,3,10,2,8,53,19,6,2,4,0,1,0,7,9,0,0,0,3,54,28,15,1,0,0,0,0,0,1,3,0,0,1,0
Martínez,Ajax,Defender,720,8,0,1,83.3,0,0,3,10,2,8,53,19,6,2,4,0,1,0,7,9,0,1,0,0,81,121,97,1,0,0,0,0,0,1,3,0,0,1,0
Martínez,Ajax,Defender,720,8,0,1,83.3,0,0,3,10,2,8,53,19,6,2,4,0,1,0,7,9,0,0,0,12,94,674,633,1,0,0,0,0,0,1,3,0,0,1,0
Martínez,Ajax,Defender,720,8,0,1,83.3,0,0,3,10,2,8,53,19,28,7,10,11,1,0,7,7,0,0,0,3,54,28,15,1,0,0,0,0,0,1,3,0,0,1,0
Martínez,Ajax,Defender,720,8,0,1,83.3,0,0,3,10,2,8,53,19,28,7,10,11,1,0,7,7,0,1,0,0,81,121,97,1,0,0,0,0,0,1,3,0,0,1,0
Martínez,Ajax,Defender,720,8,0,1,83.3,0,0,3,10,2,8,53,19,28,7,10,11,1,0,7,7,0,0,0,12,94,674,633,1,0,0,0,0,0,1,3,0,0,1,0
Martínez,Ajax,Defender,720,8,0,1,83.3,0,0,3,10,2,8,53,19,28,7,10,11,1,0,7,9,0,0,0,3,54,28,15,1,0,0,0,0,0,1,3,0,0,1,0
Martínez,Ajax,Defender,720,8,0,1,83.3,0,0,3,10,2,8,53,19,28,7,10,11,1,0,7,9,0,1,0,0,81,121,97,1,0,0,0,0,0,1,3,0,0,1,0
Martínez,Ajax,Defender,720,8,0,1,83.3,0,0,3,10,2,8,53,19,28,7,10,11,1,0,7,9,0,0,0,12,94,674,633,1,0,0,0,0,0,1,3,0,0,1,0
Marquinhos,Paris,Defender,720,8,0,1,78.5,0,0,0,2,2,0,42,36,,,,,0,0,3,3,0,0,0,16,92,509,475,,,,,,,,,,,,
Fonte,LOSC,Defender,720,8,0,0,81.3,,,,13,9,4,47,29,3,0,2,1,3,0,6,5,0,0,0,14,88,369,328,,,,,,,,,,,,
Köhn,Salzburg,Goalkeeper,720,8,0,0,43.8,,,,,,,,,,,,,,,,,0,0,0,25,73,220,156,,,,,,,,16,0,14,1,3
Handanovič,Inter,Goalkeeper,720,8,0,0,32.0,,,,,,,,,,,,,,,,,0,0,0,7,91,253,230,,,,,,,,12,0,7,3,5
Hakimi,Paris,Defender,718,8,0,0,85.3,,,,7,1,6,36,11,1,0,1,0,2,0,3,7,10,10,1,5,90,417,378,,,,,,,,,,,,
Ulmer,Salzburg,Defender,716,8,0,0,84.2,,,,6,2,4,41,20,5,2,1,2,2,0,13,2,0,16,0,5,66,277,187,,,,,,,,,,,,
Gilberto,Benfica,Defender,715,9,1,0,85.7,,,,17,8,9,48,17,3,1,0,2,1,0,16,13,30,13,4,9,79,291,232,1,0,0,0,0,1,0,,,,,
Aaronson,Salzburg,Midfielder,715,8,0,2,103.5,4,5,9,4,0,4,17,3,9,3,2,4,0,0,3,13,27,18,5,4,76,239,181,,,,,,,,,,,,
Rafa Silva,Benfica,Forward,704,9,1,1,85.7,0,3,27,12,6,6,21,1,9,1,4,4,2,0,8,14,37,8,3,2,76,187,145,1,0,0,0,0,1,0,,,,,
Gravenberch,Ajax,Midfielder,703,8,0,1,89.1,15,1,18,4,3,1,30,10,9,5,2,2,1,0,17,11,0,9,0,9,87,386,342,,,,,,,,,,,,
Kimmich,Bayern,Midfielder,702,8,0,0,96.4,,,,15,6,9,41,3,8,2,2,4,1,0,3,17,35,48,17,31,89,688,616,,,,,,,,,,,,
Marcos Llorente,Atlético,Midfielder,700,9,0,0,83.6,,,,6,0,6,37,8,2,1,1,0,3,0,13,10,10,10,1,1,80,249,212,,,,,,,,,,,,
Azpilicueta,Chelsea,Defender,679,9,1,1,82.0,0,0,3,6,3,3,26,9,3,3,0,0,1,0,9,3,15,19,3,3,88,491,434,1,0,0,0,0,1,0,,,,,
David,LOSC,Forward,679,8,3,0,86.1,,,,1,1,0,11,1,12,5,5,2,0,0,4,12,100,3,3,1,82,148,122,1,2,0,1,0,3,0,,,,,
Mbappé,Paris,Forward,673,8,6,4,65.2,4,8,43,1,0,1,10,2,27,16,6,5,1,0,3,11,13,15,2,0,85,257,220,6,0,0,0,0,6,0,,,,,
Havertz,Chelsea,Midfielder,672,9,3,0,86.3,,,,3,0,3,7,6,26,11,9,6,1,0,12,9,66,3,2,0,86,248,210,0,1,2,0,0,3,0,,,,,
Camara,Salzburg,Midfielder,672,8,0,0,80.9,,,,7,3,4,22,11,2,1,1,0,0,0,4,0,0,1,0,18,86,369,325,,,,,,,,,,,,
Camara,Salzburg,Midfielder,672,8,0,0,80.9,,,,7,3,4,22,11,2,1,1,0,0,0,4,0,0,0,0,4,87,208,185,,,,,,,,,,,,
Camara,Salzburg,Midfielder,672,8,0,0,80.9,,,,7,3,4,22,11,2,1,1,0,2,0,14,23,0,1,0,18,86,369,325,,,,,,,,,,,,
Camara,Salzburg,Midfielder,672,8,0,0,80.9,,,,7,3,4,22,11,2,1,1,0,2,0,14,23,0,0,0,4,87,208,185,,,,,,,,,,,,
Camara,Salzburg,Midfielder,672,8,0,0,80.9,,,,7,3,4,22,11,3,0,3,0,0,0,4,0,0,1,0,18,86,369,325,,,,,,,,,,,,
Camara,Salzburg,Midfielder,672,8,0,0,80.9,,,,7,3,4,22,11,3,0,3,0,0,0,4,0,0,0,0,4,87,208,185,,,,,,,,,,,,
Camara,Salzburg,Midfielder,672,8,0,0,80.9,,,,7,3,4,22,11,3,0,3,0,2,0,14,23,0,1,0,18,86,369,325,,,,,,,,,,,,
Camara,Salzburg,Midfielder,672,8,0,0,80.9,,,,7,3,4,22,11,3,0,3,0,2,0,14,23,0,0,0,4,87,208,185,,,,,,,,,,,,
Camara,Salzburg,Midfielder,672,8,0,0,80.9,,,,14,7,7,41,4,2,1,1,0,0,0,4,0,0,1,0,18,86,369,325,,,,,,,,,,,,
Camara,Salzburg,Midfielder,672,8,0,0,80.9,,,,14,7,7,41,4,2,1,1,0,0,0,4,0,0,0,0,4,87,208,185,,,,,,,,,,,,
Camara,Salzburg,Midfielder,672,8,0,0,80.9,,,,14,7,7,41,4,2,1,1,0,2,0,14,23,0,1,0,18,86,369,325,,,,,,,,,,,,
Camara,Salzburg,Midfielder,672,8,0,0,80.9,,,,14,7,7,41,4,2,1,1,0,2,0,14,23,0,0,0,4,87,208,185,,,,,,,,,,,,
Camara,Salzburg,Midfielder,672,8,0,0,80.9,,,,14,7,7,41,4,3,0,3,0,0,0,4,0,0,1,0,18,86,369,325,,,,,,,,,,,,
Camara,Salzburg,Midfielder,672,8,0,0,80.9,,,,14,7,7,41,4,3,0,3,0,0,0,4,0,0,0,0,4,87,208,185,,,,,,,,,,,,
Camara,Salzburg,Midfielder,672,8,0,0,80.9,,,,14,7,7,41,4,3,0,3,0,2,0,14,23,0,1,0,18,86,369,325,,,,,,,,,,,,
Camara,Salzburg,Midfielder,672,8,0,0,80.9,,,,14,7,7,41,4,3,0,3,0,2,0,14,23,0,0,0,4,87,208,185,,,,,,,,,,,,
Haller,Ajax,Forward,668,8,11,1,82.2,0,3,9,8,2,6,10,5,24,15,8,1,1,0,17,11,0,0,0,0,80,162,134,3,4,3,1,1,11,0,,,,,
Bastoni,Inter,Defender,666,8,0,0,76.6,,,,7,2,5,46,18,1,0,1,0,2,0,11,8,18,11,2,18,89,432,387,,,,,,,,,,,,
Koke,Atlético,Midfielder,665,9,0,1,91.2,4,0,2,11,8,3,30,7,3,0,2,1,1,0,7,11,0,3,0,6,81,308,252,,,,,,,,,,,,
Rúben Dias,Man. City,Defender,664,8,0,0,83.1,,,,11,1,10,45,16,4,1,0,3,0,0,6,1,0,0,0,8,92,464,431,,,,,,,,,,,,
Mazraoui,Ajax,Defender,661,8,0,2,81.5,0,0,13,16,10,6,40,9,9,3,3,3,1,0,9,8,36,19,7,7,86,385,338,,,,,,,,,,,,
Gündoğan,Man. City,Midfielder,660,10,0,2,86.4,16,1,3,6,0,6,13,2,14,2,4,8,1,0,4,7,33,15,5,7,90,406,367,,,,,,,,,,,,
Upamecano,Bayern,Defender,660,8,0,0,82.3,,,,4,1,3,46,16,2,0,1,1,3,0,10,5,0,2,0,11,93,562,519,,,,,,,,,,,,
Foden,Man. City,Midfielder,658,11,3,2,89.1,13,6,12,5,1,4,10,0,22,9,7,6,1,0,5,10,26,23,6,3,81,287,238,2,0,1,0,0,3,0,,,,,
